Currency Code,Currency Name,Exchange Rate = 1 EUR
 USD,US dollar,1.0798
 JPY,Japanese yen,115.53
 BGN,Bulgarian lev,1.9558
 CZK,Czech koruna,27.589
 DKK,Danish krone,7.4576
 GBP,Pound sterling,0.88738
 EUR,Euro,1 
 HUF,Hungarian forint,354.7
 PLN,Polish zloty,4.565
 RON,Romanian leu,4.84
 SEK,Swedish krona,10.6695
 CHF,Swiss franc,1.0513
 ISK,Icelandic krona,157.5
 NOK,Norwegian krone,11.0568
 HRK,Croatian kuna,7.5693
 RUB,Russian rouble,79.6208
 TRY,Turkish lira,7.4689
 AUD,Australian dollar,1.6805
 BRL,Brazilian real,6.3172
 CAD,Canadian dollar,1.5231
 CNY,Chinese yuan renminbi,7.6759
 HKD,Hong Kong dollar,8.3693
 IDR,Indonesian rupiah,16127.82
 ILS,Israeli shekel,3.8178
 INR,Indian rupee,81.9885
 KRW,South Korean won,1332.6
 MXN,Mexican peso,25.8966
 MYR,Malaysian ringgit,4.6982
 NZD,New Zealand dollar,1.8145
 PHP,Philippine peso,54.778
 SGD,Singapore dollar,1.5397
 THB,Thai baht,34.656
 ZAR,South African rand,20.0761
